Participant,SSQ-01,SSQ-02,SSQ-03,SSQ-04,SSQ-05,DM-01,DM-02,DM-03,DM-04,DM-05,DM-06,DM-07,DM-08,DM-09,DM-10,PH-SUS-01,PH-SUS-02,PH-SUS-03,PH-SUS-04,PH-SUS-05,PH-SUS-06,PH-SUS-07,PH-SUS-08,PH-SUS-09,PH-SUS-10,PH-UES-01,PH-UES-02,PH-UES-03,PH-UES-04,PH-UES-05,PH-UES-06,PH-UES-07,PH-UES-08,PH-UES-09,PH-UES-10,PH-UES-11,PH-UES-12,PH-AIS-01,PH-AIS-02,PH-AIS-03,PH-AIS-04,AR-SS-01,AR-SS-02,AR-SS-03,AR-IPQ-01,AR-IPQ-02,AR-IPQ-03,AR-IPQ-04,AR-IPQ-05,AR-IPQ-06,AR-IPQ-07,AR-IPQ-08,AR-IPQ-09,AR-IPQ-10,AR-IPQ-11,AR-IPQ-12,AR-IPQ-13,AR-IPQ-14,AR-SUS-01,AR-SUS-02,AR-SUS-03,AR-SUS-04,AR-SUS-05,AR-SUS-06,AR-SUS-07,AR-SUS-08,AR-SUS-09,AR-SUS-10,AR-UES-01,AR-UES-02,AR-UES-03,AR-UES-04,AR-UES-05,AR-UES-06,AR-UES-07,AR-UES-08,AR-UES-09,AR-UES-10,AR-UES-11,AR-UES-12,AR-AIS-01,AR-AIS-02,AR-AIS-03,AR-AIS-04,MR-SS-01,MR-SS-02,MR-SS-03,MR-IPQ-01,MR-IPQ-02,MR-IPQ-03,MR-IPQ-04,MR-IPQ-05,MR-IPQ-06,MR-IPQ-07,MR-IPQ-08,MR-IPQ-09,MR-IPQ-10,MR-IPQ-11,MR-IPQ-12,MR-IPQ-13,MR-IPQ-14,MR-SUS-01,MR-SUS-02,MR-SUS-03,MR-SUS-04,MR-SUS-05,MR-SUS-06,MR-SUS-07,MR-SUS-08,MR-SUS-09,MR-SUS-10,MR-UES-01,MR-UES-02,MR-UES-03,MR-UES-04,MR-UES-05,MR-UES-06,MR-UES-07,MR-UES-08,MR-UES-09,MR-UES-10,MR-UES-11,MR-UES-12,MR-AIS-01,MR-AIS-02,MR-AIS-03,MR-AIS-04,VR-SS-01,VR-SS-02,VR-SS-03,VR-IPQ-01,VR-IPQ-02,VR-IPQ-03,VR-IPQ-04,VR-IPQ-05,VR-IPQ-06,VR-IPQ-07,VR-IPQ-08,VR-IPQ-09,VR-IPQ-10,VR-IPQ-11,VR-IPQ-12,VR-IPQ-13,VR-IPQ-14,VR-SUS-01,VR-SUS-02,VR-SUS-03,VR-SUS-04,VR-SUS-05,VR-SUS-06,VR-SUS-07,VR-SUS-08,VR-SUS-09,VR-SUS-10,VR-UES-01,VR-UES-02,VR-UES-03,VR-UES-04,VR-UES-05,VR-UES-06,VR-UES-07,VR-UES-08,VR-UES-09,VR-UES-10,VR-UES-11,VR-UES-12,VR-AIS-01,VR-AIS-02,VR-AIS-03,VR-AIS-04,EI-SS-01,EI-SS-02,EI-SS-03,EI-01,EI-02,EI-03,EI-04,EI-05,EI-06,TLFB-01-01,TLFB-01-02,TLFB-01-03,TLFB-01-04,TLFB-01-05,TLFB-01-06,TLFB-01-07,TLFB-01-08,TLFB-01-09,TLFB-01-10,TLFB-01-11,TLFB-01-12,TLFB-01-13,TLFB-01-14,TLFB-01-15,TLFB-01-16,TLFB-01-17,TLFB-01-18,TLFB-02-01,TLFB-02-02,TLFB-02-03,TLFB-02-04,TLFB-02-05,TLFB-02-06,TLFB-02-07,TLFB-02-08,TLFB-02-09,TLFB-02-10,TLFB-02-11,TLFB-02-12,TLFB-02-13,TLFB-02-14,TLFB-02-15,TLFB-02-16,TLFB-02-17,TLFB-02-18,TLFB-03-01,TLFB-03-02,TLFB-03-03,TLFB-03-04,TLFB-03-05,TLFB-03-06,TLFB-03-07,TLFB-03-08,TLFB-03-09,TLFB-03-10,TLFB-03-11,TLFB-03-12,TLFB-03-13,TLFB-03-14,TLFB-03-15,TLFB-03-16,TLFB-03-17,TLFB-03-18,TLFB-04-01,TLFB-04-02,TLFB-04-03,TLFB-04-04,TLFB-04-05,TLFB-04-06,TLFB-04-07,TLFB-04-08,TLFB-04-09,TLFB-04-10,TLFB-04-11,TLFB-04-12,TLFB-04-13,TLFB-04-14,TLFB-04-15,TLFB-04-16,TLFB-04-17,TLFB-04-18,TLFB-05-01,TLFB-05-02,TLFB-05-03,TLFB-05-04,TLFB-05-05,TLFB-05-06,TLFB-05-07,TLFB-05-08,TLFB-05-09,TLFB-05-10,TLFB-05-11,TLFB-05-12,TLFB-05-13,TLFB-05-14,TLFB-05-15,TLFB-05-16,TLFB-05-17,TLFB-05-18
001,0,0,0,0,0,5,2,38,3,2,2,,1,3,,3,3,3,3,3,3,3,3,3,3,1,3,1,4,3,3,3,3,3,3,3,3,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,2,2,1,5,5,4,2,4,4,2,1,4,4,4,4,4,1,4,3,3,4,4,3,4,2,4,4,2,4,4,2,2,1,5,4,4,4,4,4,2,2,4,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,11/19/24,1,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,12/17/24,0,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98
002,0,0,0,0,0,5,1,40,3,2,2,,1,3,,3,1,5,1,4,1,5,2,5,1,1,1,1,1,1,1,4,2,3,5,4,5,4,4,5,5,2,3,1,4,2,5,1,3,5,1,1,2,5,1,3,1,1,1,1,5,1,5,1,2,1,5,1,1,1,1,1,1,1,3,1,3,5,3,3,5,3,5,,2,3,1,5,5,2,1,3,5,1,1,5,4,1,4,1,1,2,1,1,1,2,1,1,2,2,1,2,1,4,4,1,1,3,2,4,5,4,5,5,3,5,,2,2,1,4,5,4,1,5,5,2,2,1,5,3,4,3,1,5,1,5,1,4,1,5,1,5,1,3,3,5,1,1,1,4,5,4,5,4,5,3,4,5,5,2,3,1,"VR - liked the most; immersed you in a task and made you feel like you were a part of it and not just looking at the setting. Did not enjoy AR, felt like it was disorienting and it was difficult to focus on the task with the outside world. Did not enjoy the technology of MR and does not feel like it is caught up. Did not enjoy the functionality.","Yes, only for VR. States that as an individual who is a recovering addict, when you feel like you are a part of something like he did when he was experiencing VR, then it makes recovery easier and makes you feel like you are not the problem. Also felt the most security in VR and didn't feel judged. Felt like someone was actually trying to help him.","Feels like it's up to the patient to identify if they want help and the app would primarily be beneficial to those who are wanting help. It's good to have the app as a cravings management tool because it is also convenient, as a lot of people are on their phones these days.","CBT - felt like the videos were undermining and made it seem like the producers think that ""addicts are stupid."" The way the woman in the videos spoke did not seem genuine. HRV - participant notes that he personally never really got anything out of breathing exercises ever, so he's not the best to talk about his experience with this particular intervention",yes - feels like it would be beneficial to have the app available to individuals after a 30-day rehab into OUD treatment plans? program (for example) and have the app available to continue treatment and progressing towards sobriety outside of the facility setting.,yes - would use on a daily basis. Believes that one would have to use it daily if they are wanting to remain clean.,12/11/24,1,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,1/2/25,1,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,6/6/25,0,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,7/22/25,0,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,7/29/25,1,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98
003,-97,-97,-97,-97,-97,-97,-97,-97,-97,-97,-97,-97,-97,-97,-97,-97,-97,-97,-97,-97,-97,-97,-97,-97,-97,-97,-97,-97,-97,-97,-97,-97,-97,-97,-97,-97,-97,-97,-97,-97,-97,-97,-97,-97,-97,-97,-97,-97,-97,-97,-97,-97,-97,-97,-97,-97,-97,-97,-97,-97,-97,-97,-97,-97,-97,-97,-97,-97,-97,-97,-97,-97,-97,-97,-97,-97,-97,-97,-97,-97,-97,-97,-97,-97,-97,-97,-97,-97,-97,-97,-97,-97,-97,-97,-97,-97,-97,-97,-97,-97,-97,-97,-97,-97,-97,-97,-97,-97,-97,-97,-97,-97,-97,-97,-97,-97,-97,-97,-97,-97,-97,-97,-97,-97,-97,-97,-97,-97,-97,-97,-97,-97,-97,-97,-97,-97,-97,-97,-97,-97,-97,-97,-97,-97,-97,-97,-97,-97,-97,-97,-97,-97,-97,-97,-97,-97,-97,-97,-97,-97,-97,-97,-97,-97,-97,-97,-97,-97,-97,-97,-97,-97,-97,-97,-97,-97,-97,-97,-97,-97,-97,-97,-97,-97,-97,-97,-97,-97,-97,-97,-97,-97,-97,-97,-97,-97,-97,-97,-97,-97,-97,-97,-97,-97,-97,-97,-97,-97,-97,-97,-97,-97,-97,-97,-97,-97,-97,-97,-97,-97,-97,-97,-97,-97,-97,-97,-97,-97,-97,-97,-97,-97,-97,-97,-97,-97,-97,-97,-97,-97,-97,-97,-97,-97,-97,-97,-97,-97,-97,-97,-97,-97,-97,-97,-97,-97,-97,-97,-97,-97,-97,-97,-97,-97,-97,-97,-97,-97,-97
004,0,0,0,0,0,5,1,41,2,6,3,,4,1,,5,1,5,1,5,3,5,1,5,1,2,5,5,1,1,1,5,5,5,5,5,5,5,5,5,5,4,3,3,4,1,2,1,1,5,1,1,5,1,1,1,1,1,1,5,1,5,1,5,2,5,1,5,4,5,5,2,2,2,2,2,2,5,4,4,3,5,5,5,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,6,3,4,5,5,5,1,5,5,3,1,5,4,4,4,4,1,5,1,5,1,5,1,5,1,5,2,4,4,3,4,1,1,5,5,5,5,5,5,5,5,5,5,-98,-98,-98,-98,-98,-98,-98,-98,-98,12/17/24,0,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,1/14/25,0,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,1/30/25,0,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98
005,0,0,0,0,0,5,1,37,2,6,3,,3,1,,4,1,5,1,5,1,5,1,5,1,1,1,1,1,1,1,3,4,4,5,4,5,5,4,5,5,1,3,3,4,5,5,1,5,5,2,2,4,4,5,4,5,2,5,1,5,1,5,1,5,1,5,1,4,4,4,1,1,1,5,5,5,5,5,5,4,4,-98,5,1,3,3,4,5,5,1,5,5,1,1,5,5,5,4,5,1,5,1,5,1,5,1,5,1,5,1,1,5,4,1,1,1,5,5,5,5,5,5,5,5,5,5,1,3,3,5,5,5,1,5,5,1,1,5,5,5,5,5,1,3,1,5,1,5,1,5,1,5,1,1,5,5,1,1,1,5,5,5,5,5,5,5,5,5,5,1,3,3,"felt that MR and VR were easy to use and navigate, realistic, and comfortable. enjoyed AR the most and noted that it was the most comfortable and easiest on the eyes and easiest to navigate and use.",yes - especially the breathing technique. feels that the interventions with these technologies should mimic the same format as the study's and believes that the breathing exercises in all technologies would be the most beneficial.,believes the app was easy to use and is a great cravings management tool. asked the right questions and generated appropriate interventions. does not believe questionnaire was too long or too short.,"CBT - enjoyed them and found them soothing and relatable. does not believe that they were too long or too short. enjoyed HRV and worked well for patient personally, did not find them too long or too short. felt that both HRV and CBT interventions were appropriate for intensity level reported.","yes - believes that it would be good for patients to have this treatment intervention through their phones that they could access, especially in situations of crisis and feels that it would also be great if the app could be linked to other devices (computer, tablet, watch, etc)",yes - could envision self utilizing 3x/week,1/9/25,0,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,9/2/25,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,9/9/25,0,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,11/12/25,1,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,11/17/25,0,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98
006,1,0,0,0,0,5,2,38,3,6,2,,3,2,,4,3,5,1,5,1,5,3,5,1,3,3,5,1,1,3,3,4,4,3,4,4,4,1,5,5,6,2,3,4,3,2,1,2,3,1,1,1,3,4,3,4,3,4,2,4,4,5,1,4,4,4,3,2,3,4,2,1,2,4,4,4,4,4,4,4,3,5,5,6,2,3,5,3,5,1,3,4,1,1,3,4,3,3,3,1,5,2,4,5,4,1,4,2,4,5,3,2,3,1,4,1,4,4,5,5,3,3,2,3,5,5,6,2,3,4,2,3,3,4,4,2,3,2,1,3,,4,2,2,1,5,2,5,1,5,3,5,1,3,3,4,1,1,1,3,3,4,3,4,4,1,3,5,5,6,2,3,"augmented reality was the least liked and virtual reality was the most liked. 3about mixed reality. liked virtual reality because pt could feel that they could focus more on the interventions and themselves. felt like all headsets were easy to navigate, but pretty touch sensitive. rates AR 5/10, MR 7/10, and VR 9/10.","somewhat, yes. the tech helped a little, but it was nice to have the interventions to be somewhere and have some sense of escape from reality and that is what individuals with OUD may need incorporated into treatment.","helps a little, gives someone something to focus on other than using substances. sometimes it's helpful to be by yourself and not talk to anyone and focus on yourself and what interventions you may need.","CBT - did not enjoy. did not feel like the videos felt real or genuine. HRV: really did enjoy. and allowed pt to escape. thinks that if people had a minute to just focus on themselves entirely and breathe, then they may be able to stop thinking about using or actually using drugs. felt like CBT was not appropriate for triggers nor helpful, but felt like HRV was significantly helpful for her.",yes. it helps by giving individuals something to do and put their thoughts down and delve deeper into them. it is helpful to focus without being around people. pt states that they are not a people person.,yes. would utilize one to two times per day.,2/23/25,1,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,2/13/25,1,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,5/22/25,1,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,6/12/25,1,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,6/17/25,0,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98
007,0,0,0,0,0,5,1,57,2,6,3,,3,1,,1,1,4,1,5,2,4,2,5,1,2,2,3,1,1,1,3,5,5,3,2,4,1,5,5,3,5,3,1,3,2,5,4,2,2,1,1,5,1,1,1,1,1,1,1,5,1,4,4,5,1,4,1,1,2,2,1,1,1,1,4,2,4,4,4,5,4,5,5,6,3,3,3,4,4,4,4,4,1,1,5,2,4,2,4,1,5,1,5,1,5,1,5,1,3,1,1,1,4,1,1,1,4,4,4,5,3,3,4,2,5,5,6,3,1,4,4,1,1,3,4,1,1,4,4,3,4,3,1,5,1,5,1,5,1,5,1,5,1,1,5,5,1,1,1,5,5,5,5,5,5,5,5,5,5,6,3,1,"virtual reality was the favorite since it was the most immersive experience, fun and easy to use and understand. enjoyed mixed reality, but not as much due to less immersive and did not compare and also rating these based on tech comparisons. did not enjoy augmented reality at all, as it was not as immersive and i was aware of my real surroundings.","potentially if the patient is ready to quit and wants to receive help, especially with the breathing exercises. utilizing these technologies may be beneficial depending on the severity of the patient.",there would have to be mild cravings for there to be a positive impact on an individual. i do not believe that these interventions would be very beneficial if someone was having more severe cravings.,"did not enjoy cbt at all. we are used to hearing everything this woman has said to us from others and in classes and it's not helpful. she makes it sound so easy to stop and kind of makes you feel worse as a person if you do not stop. HRV was very calming depending on the type of immersion session you are exhibiting. CBT not appropriate for intensity level and triggers reported, HRV more appropriate.",yes once someone is considered stable. patient defines stabilities as no more physical cravings or symptoms of withdrawal.,"potentially, does not really know due to really only enjoying interventions through immersive experiences and not just on the phone.",1/27/25,0,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,1/31/25,0,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,5/6/25,0,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,5/19/25,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,6/2/25,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98
008,0,0,0,0,0,5,1,42,3,1,1,,2,4,,4,1,1,1,3,2,5,1,4,1,4,4,4,1,1,1,3,2,4,3,4,4,4,3,5,-98,1,3,2,4,4,5,2,4,4,2,2,4,3,2,4,2,1,1,2,4,1,3,2,5,2,3,1,5,4,5,1,2,1,3,2,4,5,5,5,5,3,5,5,1,3,2,4,4,4,3,4,4,3,3,4,5,5,5,5,3,5,1,5,1,3,1,5,1,2,1,5,5,5,2,1,1,4,4,5,5,5,5,3,4,5,,1,3,2,5,5,3,1,5,5,4,2,4,5,3,1,3,1,5,1,5,1,4,1,5,1,3,1,4,4,4,1,1,1,5,5,5,5,5,5,3,3,5,5,1,3,2,"VR was the favorite, had a lot of fun with virtual reality. felt like i could concentrate more because i couldn't see the surroundings, 10/10. AR was more cumbersome and not as comfortable nor immersive and was more distracting, 5/10. MR was a slight step up from AR and i felt 36.5/10","absolutely, 100%. based on own experiences, i feel like meditation is incredibly important to creating new neuropathways and changing behaviors in general. could see all of technologies being effective as long as you're in the right headspace.","application was easy to use, pretty straight forward and effective. felt like the answers correlated well with the videos and exercises.","yes, i found the videos to be helpful. the little reminders can be helpful sometimes, specifically with one of the loneliness videos. the breathing exercises were helpful and allowed me to take a minute to get grounded.","i don't see why not, yes. i think that it has the potential to help individuals with OUD and any intervention or tool that could benefit someone should be utilized. it would be good in teaching people how to breathe, meditate, and cope since
they may not know",yes. would utilize once a day to manage cravings.,2/5/25,0,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,5/7/25,0,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,5/21/26,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,6/9/25,0,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,6/17/25,1,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98
